"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","Oxidative phosphorylation_Homo sapiens_hsa00190","39/133",2.77159229691227e-20,7.17842404900279e-18,1.65191032648874e-13,4.27844774560584e-11,-1.82763262167128,82.3024637157305,"NDUFB9;COX7B;UQCRB;ATP5A1;ATP6;NDUFB3;ATP5C1;ATP5G3;COX6A1;ATP5G1;ATP5B;COX3;COX2;ATP6V1H;UQCRFS1;ATP6V0A4;CYC1;NDUFV1;ATP6V1C1;COX10;COX8A;NDUFA8;NDUFA3;NDUFC1;SDHA;COX6C;SDHB;PPA2;UQCRC1;NDUFS3;NDUFS2;ND1;NDUFS1;UQCRC2;CYTB;ND3;ND2;ATP6V0D2;ND4"
"2","Parkinson's disease_Homo sapiens_hsa05012","39/142",3.61560684968979e-19,4.68221087034828e-17,9.4193592589752e-13,1.21980702403729e-10,-1.74420497126607,74.0656705752729,"NDUFB9;COX7B;UQCRB;LRRK2;ATP5A1;ATP6;NDUFB3;ATP5C1;ATP5G3;COX6A1;ATP5G1;ATP5B;COX3;COX2;UQCRFS1;CYC1;NDUFV1;SNCA;COX8A;NDUFA8;NDUFA3;NDUFC1;SDHA;COX6C;SDHB;UQCRC1;NDUFS3;VDAC3;NDUFS2;VDAC2;ND1;NDUFS1;UQCRC2;CYTB;ND3;SLC25A5;ND2;SLC25A4;ND4"
"3","Metabolic pathways_Homo sapiens_hsa01100","130/1239",4.50451042125277e-17,3.88889399701489e-15,5.74755418713594e-09,3.72154133617052e-07,-1.9619221734031,73.8445284755142,"GALNT14;AHCYL1;ACAA2;ATP5C1;OGDHL;COX6A1;ENO2;PLB1;GLS;NAMPT;CKMT1B;GLUL;PDHX;DGAT1;ACSL1;ACSL3;SDHA;SDHB;CYP27A1;PHOSPHO1;UQCRC1;ND1;SUCLG1;UQCRC2;ND3;ND2;ATP6V0D2;ND4;CDS1;TSTA3;ISYNA1;NNMT;UQCRB;ATP6;PLD1;FUT3;ATP5B;PTDSS1;COX3;COX2;ATP6V1H;ST3GAL6;ATP6V0A4;CYC1;NDUFV1;ST3GAL1;ATP6V1C1;COX10;PDHA1;GOT1;CHKA;IDH1;GOT2;GFPT1;ASNS;TYR;CS;QDPR;SYNJ1;P4HA2;STT3A;OGDH;ACO2;DHCR7;CYTB;CDS2;GPI;COX7B;ACADVL;ALAS1;ATP5G3;ATP5G1;HK2;HK1;SPTLC2;IMPA1;HYAL1;NNT;GMPPA;UQCRFS1;UPP1;ACADM;DLAT;NANS;PGM1;IDH3A;COX8A;SPHK1;NDUFC1;HADHB;HADHA;UGDH;PLCB4;DCT;EHHADH;PCCB;NDUFS3;NDUFS2;NDUFS1;ALDOC;ST6GALNAC4;PNLIPRP3;MGLL;ALDH9A1;NDUFB9;FH;ASAH1;PON2;ATP5A1;ODC1;NDUFB3;TYRP1;HSD17B12;PAPSS2;NT5E;UGP2;ALDH1B1;CKB;NDUFA8;MDH1;GK;GALNT3;AADAT;NDUFA3;COX6C;ETNPPL;SUCLA2;CHPT1;PLCD1;PFKP"
"4","Alzheimer's disease_Homo sapiens_hsa05010","37/168",7.11881232976115e-15,4.60943098352035e-13,8.45683134938759e-10,7.30106439830462e-08,-1.76678597702879,57.5548826927237,"NDUFB9;COX7B;UQCRB;ATP5A1;ATP6;NDUFB3;ATP2A3;ATP5C1;ITPR2;ATP5G3;COX6A1;ATP5G1;ATP5B;COX3;COX2;UQCRFS1;APBB1;CAPN1;APOE;CYC1;NDUFV1;SNCA;COX8A;NDUFA8;NDUFA3;NDUFC1;SDHA;COX6C;SDHB;PLCB4;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2;CYTB;ATF6"
"5","Huntington's disease_Homo sapiens_hsa05016","38/193",1.37207271553307e-13,7.10733666646129e-12,7.47606895007192e-09,3.87260371613726e-07,-1.80177807458307,53.363772365788,"NDUFB9;COX7B;UQCRB;ATP5A1;CLTC;ATP6;DNAH6;NDUFB3;ATP5C1;ATP5G3;COX6A1;ATP5G1;ATP5B;COX3;COX2;UQCRFS1;CYC1;PPARGC1A;NDUFV1;TGM2;COX8A;NDUFA8;NDUFA3;NDUFC1;COX6C;SDHA;SDHB;PLCB4;UQCRC1;NDUFS3;VDAC3;NDUFS2;VDAC2;NDUFS1;UQCRC2;CYTB;SLC25A5;SLC25A4"
"6","Carbon metabolism_Homo sapiens_hsa01200","27/113",4.11510872955855e-12,1.77635526825944e-10,4.16190351098217e-08,1.79655501557397e-06,-1.582874911704,41.4972119661684,"GPI;FH;OGDHL;ENO2;HK2;HK1;ME2;ACADM;DLAT;IDH3A;PDHA1;GOT1;MDH1;IDH1;GOT2;SDHA;SDHB;CS;HADHA;SUCLA2;EHHADH;PCCB;OGDH;SUCLG1;ALDOC;ACO2;PFKP"
"7","Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932","29/151",2.00070070055353e-10,6.47726851804205e-09,7.50333019558614e-07,2.42920315082101e-05,-1.7823564511114,39.8042142587546,"NDUFB9;COX7B;PRKAA2;UQCRB;NDUFB3;PIK3R3;COX6A1;ADIPOR1;PIK3R5;COX3;COX2;UQCRFS1;CYC1;NDUFV1;COX8A;SREBF1;NDUFA8;TGFB1;NDUFA3;NDUFC1;SDHA;COX6C;SDHB;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2;CYTB"
"8","Citrate cycle (TCA cycle)_Homo sapiens_hsa00020","14/30",2.77217133947961e-11,1.02570339560746e-09,1.30727746384706e-07,4.83692661623412e-06,-1.2573896033078,30.56563884274,"FH;PDHA1;MDH1;IDH1;OGDHL;SDHA;SDHB;CS;SUCLA2;OGDH;SUCLG1;ACO2;DLAT;IDH3A"
"9","Cardiac muscle contraction_Homo sapiens_hsa04260","18/78",2.79374973565266e-08,8.03979090593375e-07,1.17462753357953e-05,0.00033803170133011,-1.5398938610539,26.7838298250452,"COX8A;COX7B;UQCRB;CACNA2D2;ATP1A3;ATP1B2;ATP1B1;COX6C;COX6A1;SLC8A1;CACNG7;UQCRC1;COX3;UQCRFS1;COX2;UQCRC2;CYTB;CYC1"
"10","Fatty acid metabolism_Homo sapiens_hsa01212","13/48",3.22465755948604e-07,8.35186307906885e-06,4.81348004686778e-05,0.00124669133213876,-1.45318463885906,21.7211415430497,"PECR;ACADVL;ACAA2;ACSL1;SCD5;ACSL3;HSD17B12;HADHB;HADHA;SCD;EHHADH;ACADM;FADS1"
"11","Amino sugar and nucleotide sugar metabolism_Homo sapiens_hsa00520","12/48",2.32924258374732e-06,5.48430753809596e-05,0.000178758598887604,0.00420895246471721,-1.38527417621202,17.9669609257386,"CYB5R2;UGDH;GPI;TSTA3;UGP2;GFPT1;GMPPA;NANS;RENBP;HK2;PGM1;HK1"
"12","Fatty acid degradation_Homo sapiens_hsa00071","11/44",6.14471724151042e-06,0.0001326234804626,0.000331076588864223,0.00714573637631948,-1.33045712201296,15.9653761410329,"HADHB;HADHA;ACADVL;ACAA2;ALDH1B1;ACSL1;ECI1;EHHADH;ACSL3;ACADM;ALDH9A1"
"30","2-Oxocarboxylic acid metabolism_Homo sapiens_hsa01210","7/17",8.15248125820742e-06,0.000162422511221209,0.000366194922155803,0.00729572960295023,-0.318714851116834,3.73444190165449,"CS;GOT1;AADAT;IDH1;GOT2;ACO2;IDH3A"
